t,tau_cmd,tau_meas,tau_pred,q,dq_raw,dq_filt,ddq
0.527611731,1.257750090,1.177999973,0.522629969,0.907571197,0.052359879,0.052359879,2.332805034
0.538010816,1.273529025,1.177999973,0.571923854,0.907571197,0.122173049,0.076618917,3.595105103
0.548687046,1.289219379,1.197000027,0.671802844,0.907571197,0.226892799,0.128836855,6.150983203
0.559761354,1.304943029,1.215999961,0.772198414,0.907571197,0.366519153,0.211427918,8.702524539
0.570685049,1.319895806,1.234999895,0.853585037,0.925024509,0.523598790,0.319902652,10.746740719
0.581532028,1.334189881,1.234999895,0.917282160,0.925024509,0.680678427,0.445266867,12.323043651
0.591974935,1.347424591,1.273000002,0.960471664,0.942477822,0.837758064,0.581651719,13.361881869
0.602481351,1.360212928,1.310999990,0.972610954,0.959931076,0.994837701,0.725227701,13.592491934
0.612999872,1.372481612,1.310999990,0.983447239,0.977384388,1.134464025,0.867431236,13.790161509
0.623481554,1.384170648,1.310999990,0.989760161,0.994837701,1.291543603,1.014803974,13.867685573
0.634062663,1.395422532,1.329999924,0.982397673,1.012290955,1.431169987,1.159484969,13.592659511
0.644640404,1.406116019,1.348999977,0.984507371,1.029744267,1.570796371,1.302409562,13.563936672
0.655053625,1.416097202,1.348999977,0.994056129,1.047197580,1.710422635,1.444188035,13.728514106
0.665678762,1.425719145,1.368000031,0.989696943,1.082104087,1.867502332,1.591283456,13.529849404
0.676620565,1.435030136,1.329999924,0.999591195,1.099557400,2.007128716,1.735783497,13.701786084
0.687121198,1.443391764,1.368000031,1.017569378,1.134464025,2.164208174,1.884654699,14.080504062
0.697536978,1.451127206,1.368000031,1.011869474,1.151917338,2.303834677,2.030313505,13.847959772
0.708007773,1.458339719,1.424999952,1.007272233,1.186823845,2.443460941,2.173876093,13.645191068
0.718478965,1.464984399,1.386999965,1.006014604,1.204277158,2.583087206,2.316070867,13.529698106
0.728961548,1.471064666,1.406000018,1.001240617,1.239183784,2.722713709,2.457373205,13.323670776
0.739650865,1.476673407,1.424999952,0.991609354,1.274090409,2.862339973,2.598093133,12.992205655
0.750121978,1.481586424,1.424999952,0.981487797,1.308996916,2.984513044,2.732368303,12.651803090
0.760543383,1.485903057,1.444000006,0.968533715,1.343903542,3.106686115,2.862438174,12.240505773
0.771157828,1.489710246,1.444000006,0.963914839,1.378810167,3.228859186,2.989764025,12.046645995
0.781535543,1.492856008,1.462999940,0.969987619,1.431169987,3.351032257,3.115299361,12.130687085
0.792256656,1.495505958,1.462999940,0.976878732,1.466076612,3.490658522,3.245731085,12.233063076
0.803119608,1.497568050,1.444000006,0.985950869,1.518436432,3.630284786,3.379357775,12.390052652
0.813512036,1.498953168,1.462999940,0.993727133,1.553343058,3.752457857,3.509004503,12.515807116
0.824112588,1.499773439,1.424999952,1.005679177,1.605702877,3.892084122,3.642118972,12.747669568
