t,tau_cmd,tau_meas,q,dq
3.166283358,1.491933199,1.368000031,1.047197580,6.824237347
3.176804979,1.487303899,1.406000018,1.134464025,7.068583488
3.187270753,1.481667462,1.406000018,1.204277158,7.295476437
3.197818490,1.474949765,1.444000006,1.291543603,7.539822578
3.208276297,1.467266092,1.386999965,1.378810167,7.766715050
3.218800172,1.458510714,1.462999940,1.466076612,7.993607998
3.229277425,1.448780614,1.444000006,1.553343058,8.237954140
3.239794303,1.438003512,1.386999965,1.658062816,8.464846611
3.250263744,1.426277208,1.386999965,1.745329261,8.691740036
3.260794656,1.413485929,1.368000031,1.850049019,8.901179314
3.271279410,1.399767103,1.406000018,1.954768777,9.128071785
3.281810847,1.385008798,1.368000031,2.059488535,9.337511063
3.292273120,1.369386683,1.329999924,2.164208174,9.546951294
3.302774314,1.352754432,1.329999924,2.268928051,9.756390572
3.313274853,1.335181089,1.329999924,2.373647690,9.965829849
3.323825714,1.316586994,1.292000055,2.495820761,10.157815933
3.334276747,1.297256163,1.329999924,2.600540638,10.349802017
3.344851965,1.276784723,1.292000055,2.722713709,10.524335861
3.355409640,1.255447594,1.197000027,2.827433348,10.698868752
3.365805301,1.233574188,0.874000013,2.949606419,10.855947495
3.376266083,1.210713842,0.722000003,3.071779490,10.960667610
3.386895887,1.186627019,0.797999978,3.176499128,11.047934532
3.397349952,1.162112332,0.797999978,3.298672199,11.100294113
3.408058033,1.136170469,0.740999937,3.420845270,11.135200500
3.418881338,1.109113352,0.854999959,3.543018341,11.170106888
3.429464203,1.081863673,0.778999984,3.665191412,11.187560081
3.440432882,1.052813157,0.835999966,3.787364483,11.205014229
3.450788131,1.024652746,0.835999966,3.892084122,11.205014229
3.461389399,0.995104545,0.797999978,4.014257431,11.205014229
3.471897258,0.965119563,0.740999937,4.136430264,11.222467422
3.482290535,0.934799367,0.854999959,4.258603573,11.222467422
3.492787510,0.903529357,0.722000003,4.363323212,11.222467422
3.503299095,0.871585703,0.797999978,4.485496044,11.222467422
3.514008192,0.838416448,0.759999990,4.607669353,11.239920616
3.524891243,0.804086340,0.778999984,4.729842186,11.239920616
3.535932035,0.768644104,0.740999937,4.852015495,11.222467422
3.546319076,0.734759710,0.703000009,4.974188328,11.222467422
3.556877181,0.699804260,0.740999937,5.096361637,11.222467422
3.567377617,0.664551001,0.664999962,5.201081276,11.222467422
3.577799100,0.629105153,0.664999962,5.323254108,11.205014229
3.588444507,0.592452305,0.646000028,5.445427418,11.170106888
3.598811670,0.556349664,0.607999980,5.567600250,11.152653694
3.609418016,0.519023439,0.588999987,5.672319889,11.135200500
3.619784312,0.482185453,0.532000005,5.794493198,11.082840919
3.630286835,0.444529721,0.532000005,5.916666031,11.047934532
3.640856585,0.406320330,0.474999994,6.021386147,10.995573997
3.651526440,0.367458346,0.455999970,6.143558979,10.925761223
3.662410759,0.327543182,0.437000006,6.265731812,10.855947495
3.672788225,0.289258090,0.303999990,6.370451927,10.786134720
3.683262563,0.250416178,0.303999990,6.475171566,10.698868752
3.693894071,0.210814118,0.303999990,6.597344398,10.594148636
3.704398135,0.171538865,0.266000003,6.702064514,10.489428520
3.714807959,0.132497958,0.246999994,6.806784153,10.384709358
3.725298763,0.093061665,0.171000004,6.911503792,10.245082855
3.735830151,0.053407781,0.171000004,7.016223431,10.105456352
3.746308902,0.013914912,0.075999998,7.120943546,9.965829849
3.757008482,-0.026419988,0.094999999,7.208209991,9.808750153
3.768081321,-0.068141515,0.037999999,7.312929630,9.634217262
3.778984454,-0.109172203,0.018999999,7.417649269,9.459684372
3.789359500,-0.148139942,0.000000000,7.504915714,9.285151482
3.799847270,-0.187428598,-0.018999999,7.609635353,9.093165398
3.810415648,-0.226887434,-0.133000001,7.696901798,8.901179314
3.820827141,-0.265604135,-0.094999999,7.784168243,8.709193230
3.831277169,-0.304281239,-0.133000001,7.871434689,8.499752998
3.841792740,-0.342989016,-0.189999998,7.941247940,8.272860527
3.852274202,-0.381332878,-0.208999991,8.028514862,8.045968056
3.862804720,-0.419589690,-0.303999990,8.098327637,7.801621914
3.873512833,-0.458190180,-0.323000014,8.185594559,7.539822578
3.884272807,-0.496643320,-0.398999989,8.255407333,7.260569572
3.894795154,-0.533896211,-0.417999983,8.325220108,6.998770237
3.905270620,-0.570612288,-0.437000006,8.395033836,6.702064514
3.915790635,-0.607086448,-0.437000006,8.447393417,6.422811508
3.926536958,-0.643906904,-0.474999994,8.499752998,6.108652592
3.937461149,-0.680855245,-0.513000011,8.569566727,5.777040005
3.947781252,-0.715289462,-0.513000011,8.621926308,5.445427418
3.958269157,-0.749790465,-0.588999987,8.656832695,5.113814831
3.968789123,-0.783873599,-0.627000034,8.709193230,4.764749050
3.979274345,-0.817298971,-0.607999980,8.744099617,4.398229599
3.989825043,-0.850360162,-0.722000003,8.779006004,4.031710625
4.000285789,-0.882549285,-0.722000003,8.813912392,3.665191412
4.010823716,-0.914359098,-0.759999990,8.848819733,3.281219006
4.021368804,-0.945548538,-0.740999937,8.866272926,2.897246599
4.032008334,-0.976344190,-0.854999959,8.883726120,2.495820761
4.042900929,-1.007148972,-0.835999966,8.901179314,2.059488535
4.053286752,-1.035818001,-0.874000013,8.918632507,1.658062816
4.063876121,-1.064322188,-0.874000013,8.918632507,1.204277158
4.074347821,-1.091768407,-0.930999994,8.918632507,0.767944872
4.084781275,-1.118362373,-1.044999957,8.918632507,0.401425719
4.095384781,-1.144601845,-1.006999969,8.918632507,0.104719758
4.105800530,-1.169585414,-1.064000010,8.901179314,-0.139626339
4.116341177,-1.194052594,-1.101999998,8.901179314,-0.383972436
4.126932134,-1.217792579,-1.101999998,8.883726120,-0.593411922
4.137451099,-1.240517231,-1.120999932,8.866272926,-0.802851439
4.147931655,-1.262296698,-1.177999973,8.866272926,-0.994837701
4.158283899,-1.282949839,-1.197000027,8.848819733,-1.204277158
4.168912471,-1.303250632,-1.197000027,8.813912392,-1.396263361
4.179395719,-1.322363010,-1.215999961,8.796459198,-1.605702877
4.189873659,-1.340548506,-1.234999895,8.779006004,-1.815142393
4.200389189,-1.357864636,-1.254000068,8.744099617,-2.024581909
4.210891722,-1.374212766,-1.310999990,8.726646423,-2.234021425
4.221280831,-1.389442426,-1.292000055,8.691740036,-2.443460941
4.231788716,-1.403882636,-1.310999990,8.656832695,-2.652900457
4.242283852,-1.417328036,-1.310999990,8.621926308,-2.862339973
4.252790446,-1.429800442,-1.292000055,8.587019920,-3.071779490
4.263471775,-1.441458317,-1.348999977,8.552113533,-3.281219006
4.274448746,-1.452356525,-1.368000031,8.499752998,-3.508111715
4.284768520,-1.461594350,-1.386999965,8.464846611,-3.717551231
4.295266203,-1.469982671,-1.368000031,8.412487030,-3.944444180
4.306550527,-1.477858357,-1.406000018,8.360127449,-4.171337128
4.317289127,-1.484249485,-1.386999965,8.307766914,-4.433136463
4.327802851,-1.489459451,-1.386999965,8.255407333,-4.660028934
4.338397231,-1.493657469,-1.444000006,8.203047752,-4.886921883
4.348876293,-1.496768125,-1.462999940,8.133234024,-5.113814831
4.359419359,-1.498850110,-1.406000018,8.080874443,-5.358160973
4.369952361,-1.499879299,-1.406000018,8.011061668,-5.585053444
4.380918322,-1.499834068,-1.444000006,7.941247940,-5.846852779
4.391278996,-1.498744734,-1.462999940,7.871434689,-6.073745728
4.401888317,-1.496576243,-1.368000031,7.801621914,-6.318091869
4.412285824,-1.493418716,-1.424999952,7.731808662,-6.562438011
4.422841550,-1.489170007,-1.406000018,7.661995411,-6.806784153
4.433399390,-1.483872100,-1.386999965,7.574728966,-7.051130295
4.443902772,-1.477564860,-1.462999940,7.487462521,-7.295476437
4.454273477,-1.470327119,-1.444000006,7.417649269,-7.539822578
4.464822761,-1.461940016,-1.424999952,7.330382824,-7.784168243
4.475272624,-1.452618805,-1.424999952,7.243116379,-8.011061668
4.485827085,-1.442187316,-1.386999965,7.138396740,-8.255407333
4.496460154,-1.430652066,-1.386999965,7.051130295,-8.482299805
4.506786365,-1.418471772,-1.368000031,6.963863850,-8.709193230
4.517367732,-1.404999542,-1.406000018,6.859143734,-8.936085701
4.527791603,-1.390756257,-1.348999977,6.754424095,-9.162978172
4.538273301,-1.375471544,-1.273000002,6.667157650,-9.389871597
4.548961285,-1.358903245,-1.348999977,6.562438011,-9.599310875
4.559347323,-1.341863594,-1.292000055,6.440264702,-9.808750153
4.569952454,-1.323521201,-1.348999977,6.335545063,-10.000736237
4.580455036,-1.304429532,-1.273000002,6.230825424,-10.192723274
4.590807321,-1.284721626,-1.254000068,6.108652592,-10.384709358
4.601450806,-1.263552819,-1.254000068,6.003932476,-10.559242249
4.611836938,-1.242024169,-1.273000002,5.881759644,-10.733775139
4.622294018,-1.219493562,-1.177999973,5.759586334,-10.873401642
4.632809037,-1.195988860,-1.064000010,5.637413502,-11.030481339
4.643291839,-1.171724770,-0.854999959,5.515240669,-11.152653694
4.653789507,-1.146611278,-0.778999984,5.393067360,-11.239920616
4.664423402,-1.120358268,-0.817000031,5.288347721,-11.309733391
4.674800808,-1.093966855,-0.778999984,5.166174412,-11.362092972
4.685374108,-1.066312059,-0.797999978,5.044001579,-11.397000313
4.696006884,-1.037742436,-0.835999966,4.921828270,-11.414453506
4.706856694,-1.007825926,-0.797999978,4.799655437,-11.431906700
4.717292109,-0.978344806,-0.893000007,4.677482605,-11.431906700
4.727894290,-0.947703526,-0.874000013,4.555309296,-11.449359894
4.738381500,-0.916732502,-0.854999959,4.433136463,-11.449359894
4.748890913,-0.885057078,-0.797999978,4.310963154,-11.466813087
4.759460501,-0.852577594,-0.817000031,4.188790321,-11.466813087
4.770374400,-0.818409025,-0.817000031,4.066617012,-11.466813087
4.780786621,-0.785236790,-0.740999937,3.944444180,-11.466813087
4.791378289,-0.750941310,-0.740999937,3.822271109,-11.466813087
4.801885171,-0.716394576,-0.778999984,3.700098038,-11.466813087
4.812284708,-0.681708819,-0.778999984,3.577924967,-11.431906700
4.822774769,-0.646249435,-0.722000003,3.473205328,-11.414453506
4.833268424,-0.610328503,-0.664999962,3.351032257,-11.379547119
4.843772487,-0.573946827,-0.646000028,3.228859186,-11.362092972
4.854268166,-0.537194678,-0.646000028,3.106686115,-11.309733391
4.864882198,-0.499648080,-0.550999999,3.001966238,-11.274827003
4.875272630,-0.462547896,-0.550999999,2.879793167,-11.222467422
4.885771511,-0.424740204,-0.493999988,2.757620335,-11.170106888
4.896280232,-0.386600962,-0.474999994,2.652900457,-11.100294113
4.906760197,-0.348297505,-0.455999970,2.530727386,-11.030481339
4.917289768,-0.309569450,-0.398999989,2.408554316,-10.943214417
4.927779764,-0.270771353,-0.361000001,2.303834677,-10.873401642
4.938276166,-0.231761201,-0.303999990,2.181661606,-10.768681526
4.948775319,-0.192579485,-0.246999994,2.076941729,-10.663961411
4.959274585,-0.153263263,-0.266000003,1.972222090,-10.541789055
4.969763393,-0.113879641,-0.208999991,1.867502332,-10.419615746
4.980271084,-0.074345788,-0.171000004,1.762782574,-10.279989243
4.990768649,-0.034798251,-0.113999993,1.658062816,-10.140362740
5.001377842,0.005194332,-0.075999998,1.553343058,-10.000736237
5.011897340,0.044845232,-0.037999999,1.448623300,-9.861110687
5.022363682,0.084264711,-0.018999999,1.343903542,-9.704030991
5.032898943,0.123884821,0.018999999,1.256637096,-9.529498100
5.043407879,0.163319429,0.056999996,1.151917338,-9.354965210
5.053795051,0.202185274,0.056999996,1.064650893,-9.162978172
5.064334479,0.241479857,0.094999999,0.977384388,-8.970992088
5.074787871,0.280286389,0.171000004,0.890117943,-8.761552811
5.085270138,0.319005838,0.189999998,0.802851439,-8.534660339
5.095766787,0.357556549,0.208999991,0.715584993,-8.307766914
5.106266286,0.395868795,0.266000003,0.645771801,-8.063421249
5.116903139,0.434401050,0.284999996,0.558505356,-7.819075108
5.127383263,0.472062073,0.323000014,0.488692194,-7.557275772
5.137976698,0.509797381,0.323000014,0.418879032,-7.295476437
5.148946854,0.548493438,0.361000001,0.349065840,-7.016223431
5.159444131,0.585131512,0.417999983,0.279252678,-6.719517708
5.170040260,0.621701501,0.513000011,0.226892799,-6.440264702
5.180920676,0.658793608,0.455999970,0.157079637,-6.108652592
5.191351745,0.693891711,0.513000011,0.104719758,-5.794493198
